step,arc,vx,accept_0,accept_1,accept_2,accept_mean,dS_p10_0,dS_p10_1,dS_p10_2,dS_p10_mean,dS_p50_0,dS_p50_1,dS_p50_2,dS_p50_mean,d_cost_0,d_cost_1,d_cost_2,d_cost_mean,ess_final,ess_post_0,ess_post_1,ess_post_2,ess_post_mean,ess_pre_0,ess_pre_1,ess_pre_2,ess_pre_mean,evolve_attract_ess_0,evolve_attract_ess_1,evolve_attract_ess_2,evolve_attract_ess_mean,sigma_S_0,sigma_S_1,sigma_S_2,sigma_S_mean,sigma_S_bulk_0,sigma_S_bulk_1,sigma_S_bulk_2,sigma_S_bulk_mean,unique_anc0,w_max
1,0,6,0.64,0.524,0.526,0.563333,1858.81,589.328,264.521,904.221,3180.2,969.074,757.829,1635.7,-810.587,-156.425,-97.4866,-354.833,37.0313,155.971,131.737,37.0313,108.246,1.52828,18.5139,79.6667,33.2363,55.0295,96.4553,96.4499,82.6449,1062.39,450.276,348.303,620.325,636.607,171.447,200.876,336.31,15,0.075505
2,0,5.84737,0.63,0.58,0.52,0.576667,1394.53,287.068,304.693,662.098,2566.6,599.191,631.371,1265.72,-686.837,-151.439,-91.3752,-309.884,43.4144,180.709,154.875,43.4144,126.333,1.92289,124.114,98.4883,74.8418,66.2355,96.5218,97.2218,86.6597,1121.67,561.173,422.283,701.709,527.241,127.244,140.249,264.911,29,0.0777197
3,0,5.72084,0.644,0.596,0.508,0.582667,734.242,187.102,211.56,377.634,1623.41,476.037,487.499,862.317,-605.82,-150.394,-92.8987,-283.037,101.509,324.025,271.014,101.509,232.183,11.0736,155.201,150.698,105.658,73.3746,97.0679,97.8,89.4142,1146.46,416.768,341.713,634.982,369.1,115.461,117.586,200.716,41,0.0308136
4,0,5.5361,0.562,0.602,0.55,0.571333,931.219,172.488,151.197,418.301,1688.85,388.205,402.428,826.495,-464.951,-137.184,-113.875,-238.67,124.891,355.874,289.633,124.891,256.799,4.921,208.63,182.309,131.953,78.8367,97.5584,96.8843,91.0931,1429.12,791.836,629.966,950.307,334.442,86.4319,100.656,173.843,34,0.0272428
5,0,5.35373,0.636,0.632,0.588,0.618667,614.719,262.745,274.839,384.101,1125.36,590.577,509.05,741.662,-390.105,-138.679,-102.212,-210.332,117.653,389.069,345.902,117.653,284.208,15.5747,128.606,151.882,98.6875,87.4962,97.0422,98.3282,94.2889,1525.01,826.582,685.939,1012.51,224.548,133.697,107.019,155.088,58,0.035234
6,0,5.17011,0.664,0.674,0.532,0.623333,480.469,150.681,184.26,271.803,944.273,557.061,424.563,641.966,-385.977,-133.528,-134642,-45053.7,114.21,440.225,284.479,114.21,279.638,33.3015,145.101,190.595,122.999,87.138,96.6186,88.076,90.6109,1497.36,834.92,1.10643e+06,369588,197.445,149.293,96.7813,147.84,63,0.0336428
7,1.91467,4.98384,0.652,0.69,0.566,0.636,439.852,149.255,205.199,264.769,932.273,431.291,411.558,591.707,-382.847,-131.029,-113629,-38047.6,138.913,438.361,343.725,138.913,306.999,39.2695,178.26,200.862,139.464,87.9951,98.0715,94.0167,93.3611,1570.73,971.894,9.76692e+06,3.25649e+06,211.433,111.289,89.0925,137.271,74,0.0276393
8,1.91467,4.79941,0.65,0.69,0.574,0.638,437.594,467.594,270.249,391.812,885.344,732.653,523.459,713.819,-358.522,-144.172,-526899,-175800,80.5682,454.947,199.382,80.5682,244.966,52.4974,50.4888,140.471,81.1525,88.3411,97.3316,81.4597,89.0442,1694.42,1017.2,8.82336e+06,2.94202e+06,179.916,205.333,108.172,164.474,91,0.0418116
9,1.91467,4.61515,0.636,0.7,0.584,0.64,357.844,109.585,231.972,233.133,842.328,645.224,492.695,660.082,-387.39,-166.343,-887628,-296061,135.938,469.885,422.636,135.938,342.82,65.3388,181.72,143.44,130.166,88.0205,95.3795,60.0979,81.166,1631.21,1105.01,1.17397e+07,3.91415e+06,197.344,154.021,99.9978,150.454,50,0.0327783
10,1.91467,4.42948,0.658,0.67,0.576,0.634667,313.891,166.663,221.435,233.996,753.852,439.247,405.97,533.023,-383.778,-161.623,-515959,-172168,128.394,428.131,299.024,128.394,285.183,71.3799,167.879,222.791,154.017,88.752,95.5221,80.2218,88.1653,1593.63,1106.43,2.96792e+07,9.89397e+06,178.721,108.534,74.039,120.431,76,0.0383522
