step,arc,vx,dS_p10,dS_p50,ess_final,frac_unsafe,n_all_unsafe,unsafe_mean,unsafe_max,unsafe_final,sigma_S,sigma_S_bulk,w_max
1,0,6,8264.19,12331.3,1,0,0,0,0,0,3172.35,1980.59,1
2,0,5.8169,4917.12,7785.55,1,0,0,0,0,0,2625.35,1457.74,1
3,0,5.65922,3789,6731.91,1,0,0,0,0,0,2710.24,1311.94,1
4,0,5.47143,2498.05,4740.91,1,0,0,0,0,0,2317.89,1007.61,1
5,0,5.35163,2022.48,4265.08,1,0,0,0,0,0,2653,985.728,1
6,0,5.16505,3274.75,5523.52,1,0,0,0,0,0,2367.8,1093.2,1
7,1.91467,4.99558,1666.69,3925.58,1,0,0,0,0,0,2652.91,950.57,1
8,1.91467,4.82469,2861.31,4899.53,1,0,0,0,0,0,2527.14,923.575,1
9,1.91467,4.66962,1969.53,3853.83,1,0,0,0,0,0,2538.5,830.87,1
10,1.91467,4.4822,2254.55,4151.86,1,0,0,0,0,0,2584.36,884.116,1
11,1.91467,4.29542,2239.06,4007.8,1,0,0,0,0,0,2496.74,755.185,1
12,1.91467,4.11027,1414.02,3208.38,1,0,0,0,0,0,2619.57,750.034,1
13,1.91467,4.00338,1796.72,3485.23,1,0,0,0,0,0,2638.98,714.267,1
14,1.91467,3.8167,1522.42,3212.42,1,0,0,0,0,0,2650.12,679.817,1
15,1.91467,3.62741,2550.53,4188.05,1,0,0,0,0,0,2565.96,713.825,1
16,3.83073,3.43451,1339.98,2823.66,1,0,0,0,0,0,2751.88,611.242,1
17,3.83073,3.24665,1352.86,2858.65,1,0,0,0,0,0,2237.81,684.259,1
18,3.83073,3.05985,2786.9,4393.35,1,0,0,0,0,0,2548.95,823.239,1
19,3.83073,2.87091,3252.42,5192.52,1,0,0,0,0,0,2579.8,1145.41,1
20,3.83073,2.6881,1501.16,4827.32,1,0,0,0,0,0,2658.69,1349.02,1
21,3.83073,2.48371,2607.25,5753.7,1,0,0,0,0,0,2935.92,1389.71,1
22,3.83073,2.28561,1834.88,3718.33,1,0,0,0,0,0,2886.2,739.818,1
23,3.83073,2.10919,1679.54,3301.41,1,0,0,0,0,0,2621.37,690.752,1
24,3.83073,1.92103,1578.22,3292.67,1,0,0,0,0,0,2841.99,673.329,1
25,3.83073,1.72752,2478.66,4486.53,1,0,0,0,0,0,2686.98,880.693,1
26,3.83073,1.54378,1665.71,3180.38,1,3.63636e-05,0,0.0181818,1,1,1.25749e+08,707.38,1
27,3.83073,1.37823,2078.83,3759.95,1,0,0,0,0,0,2537.79,763.729,1
28,3.83073,1.19922,1465.32,3153.11,1,0.000181818,0,0.0909091,2,2,3.01002e+09,736.806,1
29,3.83073,0.999696,2187.76,3890.93,1,0.000218182,0,0.109091,2,2,3.58305e+09,756.392,1
30,3.83073,0.826972,1592.55,3205.71,1,0.00134545,0,0.672727,11,11,1.04789e+10,682.139,1
31,3.83073,0.641417,1629.08,3397.55,1,0.00174545,0,0.872727,17,17,1.19627e+10,731.116,1
32,3.83073,0.445077,1466.84,3319.89,1,0.00265455,0,1.32727,24,24,1.58255e+10,759.842,1
33,3.83073,0.277833,2121.48,3895.91,1,0.00178182,0,0.890909,12,12,1.28991e+10,830.725,1
34,3.83073,0.0933055,2000.97,4110.66,1,0.00258182,0,1.29091,19,17,1.70541e+10,894.026,1
35,3.83073,-0.115664,1981.33,4159.68,1,0.00294545,0,1.47273,31,31,1.71073e+10,926.542,1
36,3.83073,-0.301807,1011.94,2687.82,1,0.00258182,0,1.29091,19,19,1.53218e+10,687.838,1
37,3.83073,-0.492956,1535.4,3219.68,1,0.000327273,0,0.163636,4,4,5.40674e+09,692.536,1
38,3.83073,-0.694338,2424.71,4499.04,1,0.000290909,0,0.145455,3,2,3.7016e+09,935.304,1
39,3.83073,-0.893587,2415.54,4614.54,1,0.000327273,0,0.163636,6,6,4.3351e+09,1025.56,1
40,3.83073,-1.08171,2407.27,4239.09,1,0.000327273,0,0.163636,7,7,7.41545e+09,838.098,1
41,3.83073,-1.26731,1521.91,3012.12,1,0.000327273,0,0.163636,7,7,6.38267e+09,642.488,1
42,3.83073,-1.45558,1242.71,3192.97,1,0.00105455,0,0.527273,14,14,1.09908e+10,765.115,1
43,3.83073,-1.61908,472.062,1742.6,1,0.000909091,0,0.454545,13,13,9.28282e+09,472.405,1
44,3.83073,-1.81376,448.828,1636.77,1,0.000363636,0,0.181818,6,6,5.80817e+09,429.212,1
45,3.83073,-1.9773,636.875,2311.18,1,0.000109091,0,0.0545455,3,3,4.46231e+09,633.591,1
46,3.83073,-2.15282,564.477,2310.89,1.28653,0.000509091,0,0.254545,13,13,5.81238e+09,654.342,0.872347
47,3.83073,-2.30196,1087.73,2659.59,1,0.000545455,0,0.272727,8,8,4.54317e+09,582.52,1
48,3.83073,-2.48408,616.523,1958.8,1,0.000945455,0,0.472727,12,12,1.00884e+10,501.595,1
49,3.83073,-2.61952,854.273,2245.86,1,0.000254545,0,0.127273,3,3,5.30822e+09,511.888,1
50,3.83073,-2.80055,1180.55,2793.18,1,0.000472727,0,0.236364,5,5,6.16922e+09,621.352,1
51,3.83073,-2.96669,827.297,2147.84,1,0.000763636,0,0.381818,11,3,9.19266e+09,468.441,1
52,3.83073,-3.06248,1420.23,2910.73,1,0.000254545,0,0.127273,3,3,2.90576e+09,543.849,1
53,3.83073,-3.23914,682.945,1899.41,1,0.000763636,0,0.381818,13,13,8.93224e+09,416.542,1
54,1.91467,-3.22365,1103.39,1726.73,1,0.00149091,0,0.745455,14,14,1.16251e+10,251.273,1
55,1.91467,-3.37472,160.234,762.578,1,0.00170909,0,0.854545,25,25,1.21735e+10,208.894,1
56,1.91467,-3.54289,688.906,1457.97,1,0.000254545,0,0.127273,3,3,5.80042e+09,272.518,1
57,1.91467,-3.35232,1513.01,2619.17,1,0.000690909,0,0.345455,14,14,8.72481e+09,431.681,1
58,1.91467,-3.52132,1038.78,1838.58,1,0.000145455,0,0.0727273,3,3,3.13161e+09,319.065,1
59,1.91467,-3.6903,1341.6,2057.04,1,0.000363636,0,0.181818,8,8,7.19455e+09,335.862,1
60,1.91467,-3.867,913.547,1772.43,1,0.000145455,0,0.0727273,3,3,5.50666e+09,326.681,1
61,1.91467,-4.05229,1223.73,2006.08,1,0.000109091,0,0.0545455,2,1,1.74624e+09,300.805,1
62,1.91467,-4.1676,915.258,1772.87,1,0,0,0,0,0,1322.49,305.966,1
63,1.91467,-4.33843,1275.64,2168.66,1,3.63636e-05,0,0.0181818,1,0,1.91308e+09,384.117,1
64,0,-4.49523,1225,1907.59,1,0.000181818,0,0.0909091,2,0,4.59193e+09,258.743,1
65,0,-4.57781,1266.66,1705.98,1,0.000145455,0,0.0727273,2,0,2.56379e+09,332.837,1
66,0,-4.39962,1130.92,1586.69,1,0.000145455,0,0.0727273,2,2,4.02796e+09,408.136,0.999998
67,0,-4.58169,1219.88,1719.52,1,0,0,0,0,0,809.564,391.361,1
68,0,-4.43621,356.883,1528.6,1,3.63636e-05,0,0.0181818,1,0,3.71857e+08,504.413,1
69,0,-4.24976,102.5,752.492,1,7.27273e-05,0,0.0363636,1,1,5.44088e+08,213.042,1
70,0,-4.43386,149.398,1089.56,1,0,0,0,0,0,1059.43,260.735,1
71,0,-4.61553,118.453,601.422,1.00008,0,0,0,0,0,888.547,171.068,0.999958
72,0,-4.42815,127.422,596.688,1,3.63636e-05,0,0.0181818,1,0,2.4822e+09,157.53,1
73,4502.91,-4.61173,2687.77,5154.38,1,0,0,0,0,0,1903.71,1168.98,1
74,4502.91,-4.79704,3887.08,6685.62,1,0.000327273,0,0.163636,4,4,3.44958e+09,1439.35,1
75,4502.91,-4.9395,3986.02,6816.77,1,0.00258182,0,1.29091,18,15,1.42885e+10,1285.73,1
76,4502.91,-5.07879,3063.45,5954.63,1,0.0056,0,2.8,33,33,2.32331e+10,1255.13,1
77,4502.91,-5.24517,4583.85,10537,1,0.0115636,0,5.78182,52,52,3.07837e+10,1949.22,1
78,4502.91,-5.42772,4052.91,2.62031e+10,1,0.0173091,0,8.65455,69,69,4.54108e+10,7.3184e+09,1
79,4502.91,-5.61267,3227.69,2.48963e+10,1,0.0175636,0,8.78182,79,65,4.51994e+10,6.78202e+09,1
80,4500.99,-5.77515,3555.3,3.82367e+10,1,0.0208,0,10.4,66,46,4.69101e+10,1.25653e+10,1
81,4500.99,-5.88577,4091.99,4.99982e+10,1,0.0247273,0,12.3636,86,72,5.35914e+10,1.7627e+10,1
82,4500.99,-6.06266,3002.62,5.45554e+10,1,0.0264727,0,13.2364,77,77,5.59684e+10,1.91882e+10,1
83,4500.99,-6.20473,4944.21,6.55227e+10,1,0.0298545,0,14.9273,91,83,6.23419e+10,2.28589e+10,1
84,4500.99,-6.38706,3775.06,6.76881e+10,1,0.0313818,0,15.6909,87,70,6.37266e+10,2.46098e+10,1
85,4500.99,-6.56973,4167.12,6.66563e+10,1,0.0310545,0,15.5273,95,95,6.50177e+10,2.41596e+10,1
86,4499.08,-6.75321,3651.18,6.33946e+10,1,0.03,0,15,96,60,6.0961e+10,2.20476e+10,1
87,4499.08,-6.91483,2820.43,5.95423e+10,1,0.0276364,0,13.8182,81,81,6.19508e+10,2.10371e+10,1
88,4499.08,-7.06118,5408.41,7.26844e+10,1,0.0328727,0,16.4364,86,62,6.3813e+10,2.51023e+10,1
89,4499.08,-7.20677,4002.23,7.8119e+10,1.0001,0.0329818,0,16.4909,94,77,6.94577e+10,2.69157e+10,0.999951
90,4499.08,-7.37264,4793.73,8.28071e+10,1,0.0340364,0,17.0182,108,53,7.34026e+10,2.76994e+10,1
91,4499.08,-7.55241,8410.15,8.80715e+10,1,0.0388727,0,19.4364,112,112,7.49636e+10,3.05275e+10,1
92,4497.16,-7.6841,7.12998e+09,8.39351e+10,1,0.0398909,0,19.9455,103,68,6.82269e+10,2.81044e+10,1
93,4497.16,-7.86513,5444.46,8.07954e+10,1,0.0353455,0,17.6727,88,68,6.68833e+10,2.71436e+10,1
